Type_of_snake,Egg_age,mean_pulse_rate,Weight,Width,Eggscore,interval
Corn_King_Milk,16,81.5,9.55,19.87,4,4
Corn_King_Milk,26,84.5,10.92,21.21,3,4
Corn_King_Milk,36,82.75,12.68,22.84,3,4
Corn_King_Milk,43,70.25,13.18,23.08,4,3
Corn_King_Milk,50,68.75,13.14,22.97,0,2
Corn_King_Milk,16,72.25,8.5,20.13,4,3
Corn_King_Milk,26,69.25,9.35,21.07,4,2
Corn_King_Milk,36,78.75,10.01,23.53,4,3
Corn_King_Milk,43,65.25,10.61,23.49,4,2
Corn_King_Milk,50,68.75,11.17,24.24,3,2
Corn_King_Milk,57,66,11.48,25.08,3,2
Corn_King_Milk,4,77,8,21.84,3,3
Corn_King_Milk,16,74.5,8.94,23.08,4,3
Corn_King_Milk,26,72.25,9.74,23.67,3,3
Corn_King_Milk,36,74.5,10.5,24.81,4,3
Corn_King_Milk,43,68.5,11.19,26,4,2
Corn_King_Milk,50,69.25,11.51,26.61,3,2
Corn_King_Milk,57,60.5,11.49,26.21,3,2
Corn_King_Milk,4,77,8,21.41,2,3
Corn_King_Milk,26,76.5,9.04,22.46,4,3
Corn_King_Milk,36,77.25,9.57,22.47,4,3
Corn_King_Milk,43,70.5,10,23.83,4,3
Corn_King_Milk,50,75.75,10.31,24.07,3,3
Corn_King_Milk,57,58,10.68,24.54,3,1
Corn_King_Milk,4,83,8,21.57,3,4
Corn_King_Milk,16,76,8.54,21.95,4,3
Corn_King_Milk,26,74,9.12,22.05,4,3
Corn_King_Milk,36,70.75,9.76,23.75,4,3
Corn_King_Milk,43,66.75,10.4,24.8,3,2
Corn_King_Milk,50,72.75,10.92,25.33,3,3
Corn_King_Milk,57,65.5,11.31,25.83,3,2
Corn_King_Milk,16,72.25,9.14,23.2,4,3
Corn_King_Milk,26,61,9.5,23.29,4,2
Corn_King_Milk,36,81,9.84,23.75,4,4
Corn_King_Milk,43,69.25,10.23,24.48,3,2
Corn_King_Milk,50,74,10.63,24.77,2,3
Corn_King_Milk,57,63.25,10.69,24.85,3,2
Corn_King_Milk,1,66.5,7,20.32,1,2
Corn_King_Milk,13,74,7.11,21.35,4,3
Corn_King_Milk,23,78.25,7.69,22.34,3,3
Corn_King_Milk,33,74.75,8.27,22.68,4,3
Corn_King_Milk,40,69,8.69,23.73,4,2
Corn_King_Milk,47,67.25,9,23.75,2,2
Corn_King_Milk,54,62.75,9.07,23.55,3,2
Corn_King_Milk,61,79.5,9.04,24,3,3
Corn_King_Milk,13,73,8.09,21.35,3,3
Corn_King_Milk,23,73,8.8,23.06,3,3
Corn_King_Milk,33,74.25,9.61,23.55,4,3
Corn_King_Milk,40,70,10.3,25.3,4,2
Corn_King_Milk,47,72,11,25.74,3,3
Corn_King_Milk,54,69.5,11.29,26.68,3,2
Corn_King_Milk,61,76.25,11.37,26.87,3,3
Corn_King_Milk,13,76,8.74,22.03,3,3
Corn_King_Milk,23,77.75,9.41,23.41,3,3
Corn_King_Milk,33,78.25,10.01,23.68,4,3
Corn_King_Milk,40,64.75,10.3,24.4,4,2
Corn_King_Milk,47,64.75,10.45,25.05,3,2
Corn_King_Milk,54,62,10.41,24.62,3,2
Corn_King_Milk,61,88.25,9.82,23.99,0,4
Corn_King_Milk,16,77,8.39,22.07,4,3
Corn_King_Milk,26,72,9.28,23.53,3,3
Corn_King_Milk,36,79.5,10.11,23.68,4,3
Corn_King_Milk,43,60.75,10.75,25.45,4,2
Corn_King_Milk,50,66.75,11,25.19,3,2
Corn_King_Milk,57,72.25,10.61,25.95,3,3
Corn_King_Milk,16,77,11.27,23.76,3,3
Corn_King_Milk,26,73.5,12.05,25.14,3,3
Corn_King_Milk,36,72.5,12.8,25.56,4,3
Corn_King_Milk,43,70.75,13.25,26.6,4,3
Corn_King_Milk,50,67.5,13.4,26.21,2,2
Corn_King_Milk,57,65.5,12.75,25.93,0,2
Corn_King_Milk,16,79,10.36,23.85,3,3
Corn_King_Milk,26,75,11.18,24.84,4,3
Corn_King_Milk,36,75.5,11.86,25.84,4,3
Corn_King_Milk,43,75.5,12.31,26.32,3,3
Corn_King_Milk,50,79.75,12.58,26.33,2,3
Corn_King_Milk,57,69,12.37,26.22,3,2
Corn_King_Milk,16,76,12.18,24.13,4,3
Corn_King_Milk,26,71.25,13.19,25.26,4,3
Corn_King_Milk,36,63.75,14.38,26.47,4,2
Corn_King_Milk,43,62.5,15.28,28,4,2
Corn_King_Milk,50,70.5,16.05,28.24,3,3
Corn_King_Milk,57,58.25,16.45,28.4,3,1
Corn_King_Milk,16,76.75,9.06,23.27,3,3
Corn_King_Milk,26,76.5,9.87,24.44,3,3
Corn_King_Milk,36,76.5,10.62,25.14,4,3
Corn_King_Milk,43,69.75,11.26,26.05,3,2
Corn_King_Milk,50,67.5,11.52,26.23,2,2
Corn_King_Milk,57,80,10.9,26.76,2,3
Corn_King_Milk,16,72,10.88,24.26,4,3
Corn_King_Milk,26,71.5,11.83,26.13,3,3
Corn_King_Milk,36,61.75,12.91,27.59,4,2
Corn_King_Milk,43,64.75,13.62,28.2,3,2
Corn_King_Milk,50,74,13.73,28.19,2,3
Corn_King_Milk,57,64,13.05,27.57,0,2
Corn_King_Milk,10,74.25,7.03,21.3,3,3
Corn_King_Milk,20,78.75,7.64,22.39,3,3
Corn_King_Milk,30,72.5,8.37,23.11,4,3
Corn_King_Milk,37,66.5,8.7,23.65,3,2
Corn_King_Milk,44,65.25,9.06,24.29,3,2
Corn_King_Milk,51,58.75,9.39,25.04,3,1
Corn_King_Milk,58,68.5,9.51,25.08,2,2
Corn_King_Milk,10,69,5.68,19.98,3,2
Corn_King_Milk,20,76.25,6.1,20.99,3,3
Corn_King_Milk,30,78.5,6.58,22.3,3,3
Corn_King_Milk,37,67.25,6.93,22.75,2,2
Corn_King_Milk,44,67.25,7.29,23.13,2,2
Corn_King_Milk,51,50.75,7.56,23.36,2,1
Corn_King_Milk,58,71.25,7.6,23.79,2,3
Corn_King_Milk,10,67.5,6.85,19.38,3,2
Corn_King_Milk,20,75.5,7.37,20.8,3,3
Corn_King_Milk,30,81.5,7.8,21.39,3,4
Corn_King_Milk,37,73,8.13,22.22,2,3
Corn_King_Milk,44,74.75,8.39,22.97,3,3
Corn_King_Milk,51,70.75,8.81,22.29,0,3
Corn_King_Milk,58,85.5,8.86,22.95,3,4
Corn_King_Milk,10,71,6.66,19.59,3,3
Corn_King_Milk,20,78.5,7.03,20.5,3,3
Corn_King_Milk,30,73,7.49,21.76,4,3
Corn_King_Milk,37,58.75,7.84,22.42,3,1
Corn_King_Milk,44,58.5,8.17,22.53,2,1
Corn_King_Milk,51,53.75,8.45,23.17,2,1
Corn_King_Milk,58,80.5,8.51,23.43,0,4
Corn_King_Milk,10,73.75,6.74,20.65,3,3
Corn_King_Milk,20,77.25,7.29,21.96,3,3
Corn_King_Milk,30,74,7.93,22.98,3,3
Corn_King_Milk,37,68,8.43,23.6,3,2
Corn_King_Milk,44,66,8.9,23.95,2,2
Corn_King_Milk,51,60.25,9.38,24.88,2,2
Corn_King_Milk,58,70.75,9.49,24.87,3,3
Corn_King_Milk,10,71,6.1,20.73,3,3
Corn_King_Milk,20,77,6.44,21.22,3,3
Corn_King_Milk,30,72.75,6.91,22.24,3,3
Corn_King_Milk,37,76.25,7.29,23.04,3,3
Corn_King_Milk,44,62.25,7.53,22.89,2,2
Corn_King_Milk,51,71.75,7.9,23.5,2,3
Corn_King_Milk,58,68.5,8.01,23.56,3,2
Corn_King_Milk,10,70.75,5.77,20.03,3,3
Corn_King_Milk,20,78.25,6.28,21.34,3,3
Corn_King_Milk,30,71,6.75,22.07,3,3
Corn_King_Milk,37,65.25,7.1,22.97,3,2
Corn_King_Milk,44,66.75,7.42,22.86,2,2
Corn_King_Milk,51,66.5,7.59,23.59,2,2
Corn_King_Milk,58,72.75,7.63,23.47,0,3
Corn_King_Milk,10,69,7.05,21.18,4,2
Corn_King_Milk,20,75.25,7.49,22.22,3,3
